
199;Ramarren;cl-geometry;Jakub Higersberger;Mon Mar 10 14:03:24 BRT 2008;2740;1;1;0;1;0;0;45;1;5;18;168;0;0;0%;0%;0%

200;tomtt;emacs-rails;Tom ten Thij;Mon Mar 10 14:38:56 BRT 2008;2740;5;3;2;1;0;0;18;12;46;64;945;0;0;0%;0%;0%

201;dfischer;rspec-haml-scaffold-generator;Daniel Fischer;Mon Mar 10 19:30:02 BRT 2008;2740;4;1;1;0;0;0;90;28;10;68;213;0;0;0%;0%;0%

202;radar;rboard;Ryan Bigg;Mon Mar 10 21:41:59 BRT 2008;2740;18;3;0;3;0;0;1143;4;31;309;9535;0;0;0%;0%;0%

203;freels;radiant-extensions;Matt Freels;Tue Mar 11 01:12:51 BRT 2008;2740;2;1;0;1;0;0;90;45;3;16;245;0;0;0%;0%;0%

204;DrMark;ultrasphinx;Mark Lane;Tue Mar 11 04:31:22 BRT 2008;2740;2;1;1;0;0;0;7;2;5;23;3528;0;0;0%;0%;0%

205;sudara;alonetone;Sudara;Tue Mar 11 08:43:25 BRT 2008;2739;10;127;26;101;4;28;38;1;40;170;53952;0;0;0%;0%;0%

206;matschaffer;mechaflickr;Mat Schaffer;Tue Mar 11 15:12:58 BRT 2008;2739;2;1;1;0;0;0;148;10;0;2;144;0;0;0%;0%;0%

207;mleung;feather;Michael Leung;Tue Mar 11 15:17:55 BRT 2008;2739;19;1;1;0;0;0;21;2;16;136;2853;0;0;0%;0%;0%

208;JackDanger;alphadecimal;Jack Danger Canty;Tue Mar 11 17:18:22 BRT 2008;2739;2;2;1;1;0;0;294;102;6;60;250;0;0;0%;0%;0%

209;topfunky;gruff;Geoffrey Grosenbach;Tue Mar 11 19:06:00 BRT 2008;2739;41;135;47;88;10;20;1081;199;148;744;80410;0;0;0%;0%;0%

